abandonment	abandon
amercement	amerce
americanization	americanise	americanize
ammoniation	ammoniate
ammonification	ammonify
amnesty	amnesty
amortization	amortize
amortisation	amortise
amount	amount
amplification	amplify
amputation	amputate
amusement	amuse
anaesthetization	anaesthetize
anagrams	anagram
anagrammatization	anagrammatize
analogization	analogize
analyzation	analyse	analyze
anastomosis	anastomose
anathematization	anathematise	anathematize
anatomization	anatomise	anatomize
anchorman	anchor
anchylosis	anchylose
anesthetization	anesthetize
angriness	anger
angularity	angle
anglicization	anglicise	anglicize
anguish	anguish
angulation	angulate
animadversion	animadvert
animalization	animate	animize	animalise	animalize
ankylosis	ankylose
annealing	anneal
annexation	annex
annihilation	annihilate
annotation	annotate
announcement	announce
annoyance	annoy
annulment	annul
annunciation	annunciate
anodization	anodize
anointment	anoint
answerableness	answer
ante	ante
antagonization	antagonise	antagonize
antecedency	antecede
antelope	antelope
anteroom	anteroom
anteversion	antevert
anthologization	anthologize
anthropomorphization	anthropomorphize
antic	antic
anticipation	anticipate
antidote	antidote
antiquation	antique	antiquate
aper	ape
aphorization	aphorize
apocopation	apocopate
apologetics	apologise	apologize
apostasy	apostatize
apostrophization	apostrophize
apotheosization	apotheose	apotheosize
appalling	appal	appall
apparel	apparel
appellative	appeal
appearance	appear
appeasement	appease
appendicitis	append
apperception	apperceive
appertainment	appertain
applauder	applaud
applique	applique
applicability	apply
appointment	appoint
apportionment	apportion
appositeness	appose
appraiser	appraise
appreciativeness	appreciate
apprehensiveness	apprehend
apprenticeship	apprentice
apprisal	apprise	apprize
approachability	approach
approbation	approbate
appropriateness	appropriate
approving	approve
approximation	approximate
aquaplane	aquaplane
aquatint	aquatint
arbitrager	arbitrage
arbitrement	arbitrate
arbor	arborize
arc	arc
archness	arch
archaization	archaize
archives	archive
argumentation	argue
argufication	argufy
armament	arm	armor
armourer	armour
aromatization	aromatise	aromatize
arousal	arouse
arraignment	arraign
arrangement	arrange
arrayal	array
arrester	arrest
arriver	arrive
arrogation	arrogate
arterialization	arterialise	arterialize
article	article
articulateness	articulate
ascendency	ascend
ascertainment	ascertain
ascription	ascribe
ash	ash
asking	ask
aspersion	asperse
asphalt	asphalt
asphyxiation	asphyxiate
aspiration	aspire	aspirate
assailability	assail
assassination	assassinate
assault	assault
assayal	assay
assembling	assemble
assenting	assent
assertiveness	assert
assessment	assess
asseveration	asseverate
assibilation	assibilate
assignation	assign
assimilation	assimilate
assistance	assist
associableness	associate
assoilment	assoil
assortment	assort
assuagement	assuage
assumption	assume
assurance	assure
asterisk	asterisk
astonishment	astonish
astriction	astrict
protestation	protest
atomization	atomise	atomize
atonicity	atone
atrophy	atrophy
attachment	attach
attacker	attack
attainableness	attain
attempt	attempt
attentiveness	attend
attenuation	attenuate
attestation	attest
attire	attire
attitudinization	attitudinize
attornment	attorn
attractiveness	attract
attribution	attribute
attunement	attune
auctioneer	auction	auctioneer
audition	audit	audition
augmentation	augment
augury	augur
auscultation	auscultate
auspices	auspicate
authentication	authenticate
authoritarianism	author	authorise	authorize
autoclave	autoclave
autograph	autograph
automatization	automate	automatize
automobile	automobile
autopsy	autopsy
autotomization	autotomize
availableness	avail
avalanche	avalanche
averment	aver
averageness	average
averting	avert
aviation	aviate
avoidance	avoid
avouchment	avouch
avowal	avow
avulsion	avulse
awfulness	awe
awakening	awaken
awarding	award
axe	ax	axe
azure	azure
baas	baa
babbitt	babbitt
babblement	babble
baby	baby
babysitting	babysit
bach	bach
bachelor	bachelor
backing	back
backbiter	backbite
backfill	backfill
backfire	backfire
backgrounding	background
backhand	backhand
backlash	backlash
backlog	backlog
backorder	backorder
backpacking	backpack
backsliding	backslide
backspacer	backspace
backstitch	backstitch
backstop	backstop
backup	backup
bacterization	bacterize
badge	badge
badgering	badger
bafflement	baffle
bagging	bag
bayer	bay
bailment	bail
baiting	bait
baking	bake
balancing	balance
baldness	bald
balefulness	bale
balk	balk
balkanization	balkanise	balkanize
ball	ball
ballast	ballast
balloonist	balloon
balloting	ballot
ballyhoo	ballyhoo
bamboozlement	bamboozle
banning	ban
banding	band
bandaging	bandage
banging	bang
banishment	banish
banking	bank
bankroll	bankroll
bankruptcy	bankrupt
banqueting	banquet
banter	banter
baptists	baptise	baptize
barring	bar
barb	barb
barbarousness	barbarize
barbarisation	barbarise
barbecuing	barbecue
barber	barber
bard	bard
bareness	bare
bargaining	bargain
bargeman	barge
barker	bark
barkeeper	barkeep
barnstormer	barnstorm
barracking	barrack
barrage	barrage
barrelful	barrel
barricade	barricade
bartender	bartend
barterer	barter
baseness	base
bashfulness	bash
basification	basify
basset	basset
bastion	baste
bastardization	bastardize
bastardisation	bastardise
bastinado	bastinado
batting	bat
batch	batch
bathing	bath	bathe
batik	batik
batten	batten
battering	batter
battleship	battle
baulk	baulk
bawling	bawl
bayonet	bayonet
being	be
bestialization	bestialize
beach	beach
beachcomber	beachcomb
beacon	beacon
beading	bead
beak	beak
beam	beam
bearing	bear
beard	beard
beating	beat
beatification	beatify
beautification	beautify
beaver	beaver
bebop	bebop
bedding	bed
bedazzlement	bedazzle
bedevilment	bedevil
bedizenment	bedizen
beef	beef
beep	beep
beeswax	beeswax
beetle	beetle
befooling	befool
befoulment	befoul
befuddlement	befuddle
beggarman	beg	beggar
beginning	begin
beguilement	beguile
behaviorism	behave
beheading	behead
beholding	behold
belay	belay
belching	belch
beleaguerment	beleaguer
belie	belie
believability	believe
belittlement	belittle
bellman	bell
bellowing	bellow
bellyful	belly
bellyacher	bellyache
belongings	belong
beloved	belove
belting	belt
bemusement	bemuse
bench	bench
bending	bend
beneficiary	benefice
benefaction	benefit
bequest	bequeath
berating	berate
bereavement	bereave
berry	berry
berth	berth
besieging	besiege
besprinkling	besprinkle
best	best
bestowment	bestow
bet	bet
betrayer	betray
betrothed	betroth
betterment	better
bevel	bevel
bewilderment	bewilder
bewitchment	bewitch
bias	bias
bib	bib
bickering	bicker
bicyclist	bicycle
bidding	bid
biff	biff
bifurcation	bifurcate
bight	bight
bike	bike
bilges	bilge
billions	bill
billet	billet
billow	billow
binful	bin
binding	bind
binge	binge
bio-assay	bio-assay
bioassay	bioassay
birch	birch
birding	bird
birdie	birdie
birdlime	birdlime
birdnesting	birdnest
birling	birl	birle
birr	birr
birthing	birth	birthe
bisection	bisect
bishop	bishop
bistate	bistate
bitch	bitch
biter	bite
bitt	bitt
bitterness	bitter
bituminization	bituminise	bituminize
bivouac	bivouac
blackness	black
blackball	blackball
blackberry	blackberry
blackening	blacken
blackguard	blackguard
blackjack	blackjack
blackleg	blackleg
blacklist	blacklist
blackmailer	blackmail
blacktopping	blacktop
blame	blame
blandishment	blandish
blankness	blank
blanket	blanket
blaring	blare
blarney	blarney
blasphemer	blaspheme
blast	blast
blather	blather
blazing	blaze
blazonment	blazon
bleach	bleach
bleat	bleat
bleeding	bleed
bleep	bleep
blemishment	blemish
blending	blend
blessing	bless
blether	blether
blighter	blight
blindness	blind
blindfold	blindfold
blinker	blink	blinker
blister	blister
blitz	blitz
bloat	bloat
blob	blob
blocking	block
blockade	blockade
blood	blood	bloody
blooming	bloom
blossoming	blossom
blot	blot
blotch	blotch
blowing	blow
blubber	blubber
bludgeon	bludgeon
blueness	blue
blueprint	blueprint
bluffness	bluff
blunderer	blunder
bluntness	blunt
blur	blur
blurt	blurt
blusher	blush
blusterer	bluster
boarding	board
boastfulness	boast
boatman	boat
bob	bob
bobsled	bobsled
bobsleigh	bobsleigh
bodement	bode
body	body
bodybuilding	bodybuild
bog	bog
bogeyman	bogey
boiling	boil
boldface	boldface
bollock	bollocks
bolshevism	bolshevize
bolster	bolster
bolt	bolt
bombing	bomb
bombardment	bombard
bondman	bond
boniness	bone
bong	bong
bonnet	bonnet
boo	boo
boob	boob
boogie	boogie
booking	book
bookbinding	bookbind
bookkeeping	bookkeep
bookselling	booksell
bookshelf	bookshelf
boomer	boom
boomerang	boomerang
boosters	boost
bootees	boot
bootlegging	bootleg
bootlicker	bootlick
bootstrap	bootstrap
boozing	booze
bop	bop
borderer	border
boredom	bore
borrowing	borrow
bosom	bosom
bossism	boss
botanization	botanize
botcher	botch
botheration	bother
bottleful	bottle
bottleneck	bottleneck
bottom	bottom
bounciness	bounce
boundary	bound
bowing	bow	bower
bowdlerization	bowdlerise	bowdlerize
bowling	bowl
boxing	box
boycott	boycott
bracing	brace
brachiation	brachiate
bracket	bracket
brad	brad
braggadocio	brag
braiding	braid
braille	braille
brain	brain
brainstorm	brainstorm
brainwashing	brainwash
braising	braise
brakeman	brake
embranchment	branch
branding	brand
brandishment	brandish
braving	brave
bravo	bravo
brawler	brawl
bray	bray
brazenness	brazen
broach	breach	broach
bread	bread
breadwinning	breadwin
breaking	break
breakfast	breakfast
bream	bream
breast	breast
breathing	breathe
breathalyser	breathalyse
breathalyzer	breathalyze
breeding	breed
breeziness	breeze
brevet	brevet
brewing	brew
bribery	bribe
brick	brick
bricklaying	bricklay
bridge	bridge
bridle	bridle
briefness	brief
brigade	brigade
brim	brim
brininess	brine
bringing	bring
briskness	brisk
bristle	bristle
broadcasting	broadcast
broadening	broaden
broadside	broadside
brocade	brocade
broiling	broil
broker	broker
bromation	bromate
bromination	brominate
bronze	bronze
brooch	brooch
brooding	brood
brook	brook
broom	broom
brownness	brown
browsing	browse
bruiser	bruise
bruit	bruit
brunch	brunch
brushing	brush
brutalization	brutalise	brutalize
bubbler	bubble
buccaneering	buccaneer
buck	buck
bucketful	bucket
buckler	buckle
buckram	buckram
budding	bud
budget	budget
buff	buff
buffalo	buffalo
buffer	buffer
buffeting	buffet
bug	bug
buggery	bugger
bugle	bugle
building	build
bulge	bulge
bulk	bulk
bullion	bull
bulldog	bulldog
bulldozer	bulldoze
bulletin	bulletin
bullshit	bullshit
bully-off	bully-off
bullying	bully
bulwarks	bulwark
bum	bum
bumbler	bumble
bumper	bump
bunch	bunch
bunco	bunco
bundling	bundle
bungee	bung
bungling	bungle
bunker	bunk	bunker
bunting	bunt
buoyancy	buoy
burring	bur	burr
burdensomeness	burden
burglarization	burgle	burglarise	burglarize
burying	bury
burl	burl
burlesque	burlesque
burning	burn
burnish	burnish
burping	burp
burrow	burrow
burster	burst
burthen	burthen
bussing	bus	buss
bushing	bush
bushel	bushel
bushwhacker	bushwhack
busker	busk
buster	bust
bustle	bustle
busyness	busy
butchering	butcher
butler	butler
butte	butt
butter	butter
button	button
buttonhole	buttonhole
buttressing	buttress
butyl	butylate
buying	buy
buzzer	buzz
bypass	bypass
cab	cab
cabalist	cabal
cabbage	cabbage
cabin	cabin
cable	cable
cache	cache
cachinnation	cachinnate
cackler	cackle
caddis	caddy	caddie
cadger	cadge
cager	cage
cajolement	cajole
cake	cake
cakewalk	cakewalk
calcification	calcify
calcimine	calcimine
calcination	calcine
calculability	calculate
calendar	calendar
calender	calender
calibration	calibrate
calipers	caliper
calk	calk
calling	call
callipers	calliper
callus	callus
calmness	calm
calumniation	calumniate
calving	calve
camber	camber
camouflage	camouflage
campion	camp
campaigning	campaign
camphoration	camphorate
canning	can
cancan	cancan
cancellation	cancel
candle	candle
candy	candy
canalization	cane	canal	canalise	canalize
canker	canker
cannibalization	cannibalise	cannibalize
cannoneer	cannon
cannonade	cannonade
canoeist	canoe
canonization	canonise	canonize
canopy	canopy
cantor	cant
canter	canter
cantilever	cantilever
cantillation	cantillate
cantonment	canton
cannulization	canulate	cannulate
canvas	canvas
canvassing	canvass
caption	cap	caption
capacitation	capacitate
caparison	caparison
caper	caper
capitalization	capitalize
capitalisation	capitalise
capitulation	capitulate
caponization	caponize
caponisation	caponise
capsizing	capsize
capsulation	capsulate
captainship	captain
captivation	captivate
capture	capture
caramelization	caramelize
caravanning	caravan
carbonization	carbonate	carbonize
carboxylation	carboxylate
carburization	carburet	carburise	carburize
cards	card
carefulness	care
careenage	careen
careerist	career
caressing	caress
caricaturist	caricature
carminative	carmine
carnality	carnalize
carnification	carnify
caroller	carol
carom	carom
carouser	carouse
carping	carp
carpentry	carpenter
carpeting	carpet
carriage	carry
carting	cart
cartoon	cartoon
cartwheel	cartwheel
carving	carve
cascades	cascade
casement	case
caseation	caseate
cash	cash
cashier	cashier
casket	casket
casting	cast
castigation	castigate
castling	castle
castration	castrate
cat	cat
catabolism	catabolize
cataloger	catalog
cataloguer	catalogue
catalysis	catalyze
catapult	catapult
catcall	catcall
catchment	catch
catechization	catechize
categorization	category	categorize	categorise
catenation	catenate
catering	cater
caterwaul	caterwaul
catheterization	catheterise	catheterize
catholicization	catholicise	catholicize
catnap	catnap
caucus	caucus
caulking	caulk
causation	cause
causeway	causeway
cauterization	cauterise	cauterize
caution	caution
caving	cave
cavern	cavern
caw	caw
cessation	cease
cession	cede
celebration	celebrate
cellar	cellar
cementation	cement
censorship	censor
censure	censure
census	census
centralization	center	centre	centralize
centigrade	centigrade
centrifugation	centrifuge	centrifugate
centuplication	centuplicate
ceres	cere
cerebration	cerebrate
certification	certify	certificate
chafing	chafe
chaff	chaff
chagrin	chagrin
chains	chain
chairman	chair	chairman
chalk	chalk
challenger	challenge
chamber	chamber
champ	champ
championship	champion
chance	chance
changefulness	change
channelization	channel	channelize
chanting	chant
chapman	chap
chaperonage	chaperon	chaperone
char	char
characterization	character	characterize
characterisation	characterise
charcoal	charcoal
charger	charge
charioteer	chariot
charmer	charm
chartist	chart
charterage	charter
chaser	chase
chasse	chasse
chastisement	chasten	chastise
chat	chat
chattering	chatter
chauffeur	chauffeur
chaw	chaw
cheating	cheat
checkers	check	checker
checkmate	checkmate
cheekful	cheek
cheep	cheep
cheerfulness	cheer
cheerleading	cheerlead
cheese	cheese
chelation	chelate
chemisorption	chemisorb
cheque	cheque
chevy	chevy
chewing	chew
chicanery	chicane
chiding	chide
chilling	chill
chime	chime
chin	chin
chine	chine
chink	chink
chipping	chip
chirp	chirp
chirrup	chirrup
chiseller	chisel
chitchat	chitchat
chlorination	chlorinate
chloroform	chloroform
chock	chock
choiceness	choose
choir	choir
choking	choke
chomping	chomp
chondrification	chondrify
chop	chop
chord	chord
choreographer	choreograph
chortle	chortle
chorus	chorus
christening	christen
christianization	christianise	christianize
christmas	christmas
chrome	chrome
chronicler	chronicle
chronology	chronologize
chuck	chuck
chuckle	chuckle
chug	chug
chum	chum
chunk	chunk
churchman	church
churn	churn
cicatrization	cicatrise	cicatrize
ciliation	ciliate
cinch	cinch
cinchonization	cinchonise	cinchonize
cinder	cinder
cinema	cinematize
cinematographer	cinematograph
cipher	cipher
circularization	circle	circularize	circularise
circuit	circuit
circulation	circulate
circumambulation	circumambulate
circumcision	circumcise
circumflex	circumflex
circumfusion	circumfuse
circumnavigation	circumnavigate
circumnutation	circumnutate
circumscription	circumscribe
circumstantiation	circumstantiate
circumvallation	circumvallate
circumvention	circumvent
circumvolution	circumvolute
citation	cite
cityfication	citify	cityfy
civilization	civilize
civilisation	civilise
clabber	clabber
clack	clack
cladding	clad
claimant	claim
clamoring	clam	clamor
clamber	clamber
clamouring	clamour
clamp	clamp
clangoring	clang	clangor
clangour	clangour
clank	clank
clapping	clap
clapboard	clapboard
clarification	clarify
clarion	clarion
clash	clash
clasp	clasp
class	class
classicism	classicize
classification	classify
clatter	clatter
claw	claw
claxon	claxon
clay	clay
cleanliness	clean
cleansing	cleanse
clearness	clear
cleat	cleat
cleavers	cleave
clench	clench
clerkship	clerk
clew	clew
click	click
climax	climax
climbing	climb
clincher	clinch
cling	cling
clinker	clink	clinker
clipping	clip
cloak	cloak
clobber	clobber
clocking	clock
clog	clog
cloister	cloister
clone	clone
closeness	close	closure	cloture
closet	closet
clotting	clot
clothing	clothe
clouding	cloud	clouded
clout	clout
clowning	clown
clubbing	club
cluck	cluck
clue	clue
clump	clump
clunk	clunk
cluster	cluster
clutches	clutch
clutter	clutter
co-star	co-star
coachman	coach
coagulation	coagulate
coalman	coal
coalescency	coalesce
coarsening	coarsen
coaster	coast
coating	coat
coaxing	coax
cobbling	cobble
cocainization	cocainise	cocainize
cocker	cock	cocker
cockle	cockle
cockneyfication	cocknify	cockneyfy
cocoon	cocoon
cod	cod
codling	coddle
coding	code
codification	codify
coercion	coerce
coexistence	coexist
coextension	coextend
coffin	coffin
cog	cog
cogitation	cogitate
cognisance	cognise
cognizance	cognize
cohabitation	cohabit
cohesiveness	cohere
coif	coif
coiffure	coiffure
coil	coil
coinage	coin
coincidence	coincide
coinsurance	coinsure
coke	coke
collaboration	collaborate
collapse	collapse
collar	collar
collation	collate
collective	collect
collectivization	collectivise	collectivize
collision	collide
colligation	colligate
collimation	collimate
collocation	collocate
collusion	collude
collie	colly
colonization	colonize
coloration	color	colorate
colouring	colour
combativeness	comb
combatant	combat
combination	combine
combustible	combust
coming	come
comfit	comfit
comfortableness	comfort	comfortable
commandment	command	commandeer
commemoration	commemorate
commencement	commence
commendation	commend
commentation	comment	commentate
commercialization	commercialise	commercialize
comminglement	commingle
comminution	comminute
commiseration	commiserate
commissioning	commit	commission
commixture	commix
communalization	commune	communalise	communalize
communization	communize
communicativeness	communicate
commutability	commute	commutate
compactness	compact
companionableness	companion
company	company
comparability	compare
compartment	compart
compartmentalization	compartmentalise	compartmentalize
compassionateness	compass	compassionate
compulsiveness	compel	compell
compensation	compensate
compere	compere
competitiveness	compete
compilation	compile
complainant	complain
complementation	complement
completeness	complete
complexifier	complexify
complexion	complexion
complication	complicate
compliments	compliment
compliancy	comply
comportment	comport
composition	compose
compost	compost
compounding	compound
comprehensiveness	comprehend
compressibility	compress
comprising	comprise
compromise	compromise
computation	compute
computerization	computerise	computerize
con	con
concatenation	concatenate
concealment	conceal
concession	concede
concelebration	concelebrate
concentricity	concentrate
conceivableness	conceive
conceptualization	conceptualise	conceptualize
concert	concert	concertize
concertina	concertina
conciliation	conciliate
conclusiveness	conclude
concoction	concoct
concordance	concord
concretization	concrete	concretize
concern	concrn	concern
concurrence	concur
concussion	concuss
condamnation	condamn
condemnation	condemn
condensation	condense	condensate
condescendence	condescend
conditionality	condition
condolement	condole
condonation	condone
conductivity	conduct
cone	cone
confab	confab
confabulation	confabulate
confection	confect	confection
confederation	confederate
conferment	confer
confession	confess
confidentiality	confide
configuration	configure
confinement	confine
confirmation	confirm
confiscation	confiscate
conflation	conflate
confliction	conflict
conformation	conform
confounding	confound
confrontation	confront
confusion	confuse
confutation	confute
conge	conge
conga	conga
congelation	congeal
congestion	congest
conglobation	conglobe	conglobate
conglomeration	conglomerate
conglutination	conglutinate
congratulations	congratulate
congregation	congregate
conjecture	conjecture
conjunctivitis	conjoin
conjugation	conjugate
conjuration	conjure
conker	conk
connective	connect
connivance	connive
connotation	connote
conquering	conquer
conscription	conscript
consecration	consecrate
consensus	consent
conservative	conserve
considerateness	consider
consignation	consign
consistency	consist
consociation	consociate
consolement	console
consolidation	consolidate
consort	consort
conspirator	conspire
constellation	constellate
consternation	consternate
constipation	constipate
constitutional	constitute
constitutionalism	constitutionalize
constraint	constrain
constriction	constrict
constringency	constringe
structuralization	construct	structure	structuralize
construal	construe
consubstantiation	consubstantiate
consultation	consult
consumptive	consume
consummation	consummate
contacting	contact
containerful	contain
containerization	containerise	containerize
contamination	contaminate
contemptibility	contempt
contemplativeness	contemplate
contemporaneousness	contemporize
contentiousness	contend	content
contestation	contest
continuousness	continue
contortion	contort
contour	contour
contraband	contraband
contracting	contract
contradiction	contradict
contradistinction	contradistinguish
contraindication	contraindicate
contrast	contrast
contravention	contravene
contredanse	contredanse
contribution	contribute
contrivance	contrive
controlling	control
controversion	controvert
contusion	contuse
convalescence	convalesce
convection	convect
convention	convene
conveniences	convenience
conventionalization	conventionalise	conventionalize
convergency	converge
convertibility	convert
conversation	converse
conveyance	convey
convincement	convict	convince
convocation	convoke
convolution	convolve	convolute
convoy	convoy
convulsion	convulse
coo	coo
cooking	cook
coolness	cool
coop	coop
cooperativeness	cooper	cooperate	co-operate
co-optation	coopt	co-opt
coordination	coordinate	co-ordinate
cop	cop
coping	cope
copolymerization	copolymerise	copolymerize
copper	copper
copulative	copulate
copyist	copy
copyreader	copyread
copyright	copyright
coquetry	coquet
coquette	coquette
corbel	corbel
cordite	cord
cordon	cordon
corduroys	corduroy
coral	core
corker	cork
corkscrew	corkscrew
corn	corn
corner	corner
cornice	cornice
coronation	coronate
corrasion	corrade
corral	corral
correctitude	correct
correlativity	correlate
correspondence	correspond
corroboration	corroborate
corrosive	corrode
corrugation	corrugate
corruptibility	corrupt
corsetry	corset
cortication	corticate
coruscation	coruscate
cosh	cosh
costing	cost
costume	costume
cotton	cotton
couch	couch
coughing	cough
counseling	counsel
counterman	count	counter
countenance	countenance
counteraction	counteract
counterattack	counterattack
counterbalance	counterbalance
counterchange	counterchange
countercheck	countercheck
counterclaim	counterclaim
counterfeiter	counterfeit
countermand	countermand
countermine	countermine
countermovement	countermove
counterplot	counterplot
counterpoint	counterpoint
counterpoise	counterpoise
countersignature	countersign
countersink	countersink
counterweight	counterweight
country-dance	country-dance
country	country	countrify
coupe	coup
coupling	couple
coursing	course
court-martial	court-martial
courtship	court
covenant	covenant
covering	cover
covetousness	covet
cowman	cow
coward	coward
cowhide	cowhide
cowling	cowl
cox	cox
cozenage	cozen
crabs	crab
cracking	crack
cracklings	crackle
cradle	cradle
crafter	craft
cramp	cramp
crane	crane
crank	crank
craps	crap
crape	crape
crash-landing	crash-land
crasher	crash
crateful	crate	crater
craving	crave
crawfish	crawfish
crawling	crawl
crayon	crayon
craze	craze
creaking	creak
creamer	cream
crease	crease
creationism	create
crediting	credit
creeping	creep
cremation	cremate
crenellation	crenel	crenelate	crenellate
creosote	creosote
crepe	crepe
crepitation	crepitate
crescendo	crescendo
crest	crest
crewman	crew
crib	crib
crick	crick
cricketer	cricket
criminalness	criminate	criminalize
crimper	crimp
crimson	crimson
crinkle	crinkle
cripple	cripple
crispness	crisp
crisscross	crisscross
criticalness	critique	criticise	criticize
croaking	croak
crocheting	crochet
crock	crock
crook	crook
crooning	croon
crop	crop
croquet	croquet
cross-dresser	cross-dress
cross-examination	cross-examine
cross-fertilization	cross-fertilize
cross-index	cross-index
cross-pollination	cross-pollinate
cross-questioning	cross-question
cross-reference	cross-refer
crossness	cross
crossbreed	crossbreed
crosscheck	crosscheck
crosscut	crosscut
crosshatching	crosshatch
crouch	crouch
crowing	crow
crowding	crowd
crown	crown
crucifixion	crucify
cruiser	cruise
crumb	crumb
crunch	crunch
crusader	crusade
crushing	crush
crust	crust
crying	cry
crystallization	crystalize	crystallize
cub	cub
cubist	cube
cuckoldry	cuckold
cuckoo	cuckoo
cuddling	cuddle
cudgel	cudgel
cue	cue
cuffs	cuff
cull	cull
culmination	culminate
cultivation	cultivate
culture	culture
cumulation	cumulate
cupping	cup
curarization	curarise	curarize
curbing	curb
curdling	curdle
cure	cure
curettement	curet
curling	curl
curry	curry
cursor	curse
curtailment	curtail
curtain	curtain
curtsey	curtsey
curtsy	curtsy
curvature	curve
curvet	curvet
cushioning	cushion
cuss	cuss
customization	customize
cutting	cut
cutinization	cutinise	cutinize
cybernation	cybernate
cyclicity	cycle
cyclostyle	cyclostyle
cypher	cypher
dab	dab
dabbler	dabble
dalliance	dally
dam	dam
damages	damage
damascene	damascene
damnation	damn
damnification	damnify
dampness	damp
dampening	dampen
dancing	dance
dandification	dandify
dangling	dangle
dapple	dapple
daring	dare
darkening	darken
darning	darn
darter	dart
dash	dash
date	date
dateline	dateline
daubing	daub
dauntlessness	daunt
dawdling	dawdle
dawning	dawn
daydreamer	daydream
daze	daze
dazzle	dazzle
de-escalation	de-escalate
de-iodination	de-iodinate
deactivation	deactivate
deadening	deaden
deafness	deaf
dealings	deal
deaminization	deaminate	deaminize
debarring	debar
debarkation	debark
debasement	debase
debater	debate
debauchery	debauch
debilitation	debilitate
debit	debit	debite
debouchment	debouch
debriefing	debrief
debunking	debunk
debut	debut
decalcification	decalcify
decampment	decamp
decanter	decant
decapitation	decapitate
decarbonization	decarbonate	decarbonise	decarbonize
decarburization	decarburise	decarburize
decay	decay
deceased	decease
deceptiveness	deceive
deceleration	decelerate
december	december
decentralisation	decentralise
decentralization	decentralize
decisiveness	decide
decimalization	decimate	decimalise	decimalize
decipherment	decipher
decking	deck
declamation	declaim
declarative	declare
declassification	declassify
declination	decline
decoction	decoct
decoding	decode
decollation	decollate
decolonization	decolonize
decolorization	decolor	decolour	decolorize
decomposition	decompose
decompression	decompress
deconstruction	deconstruct
decontamination	decontaminate
decontrol	decontrol
